updatetime,vehiclecount,_id,totalspaces,garagecode,streamtime
09:04.1,0,1,65,NORREPORT,11/3/2014 16:18
09:04.1,0,2,512,SKOLEBAKKEN,11/3/2014 16:18
09:04.1,869,3,1240,SCANDCENTER,11/3/2014 16:18
09:04.1,22,4,953,BRUUNS,11/3/2014 16:18
09:04.1,124,5,130,BUSGADEHUSET,11/3/2014 16:18
09:04.1,106,6,400,MAGASIN,11/3/2014 16:18
09:04.1,115,7,210,KALKVAERKSVEJ,11/3/2014 16:18
09:04.1,233,8,700,SALLING,11/3/2014 16:18
39:01.8,0,9,65,NORREPORT,11/3/2014 16:18
39:01.8,0,10,512,SKOLEBAKKEN,11/3/2014 16:18
39:01.8,959,11,1240,SCANDCENTER,11/3/2014 16:18
39:01.8,22,12,953,BRUUNS,11/3/2014 16:18
39:01.8,124,13,130,BUSGADEHUSET,11/3/2014 16:18
39:01.8,119,14,400,MAGASIN,11/3/2014 16:18
39:01.8,121,15,210,KALKVAERKSVEJ,11/3/2014 16:18
39:01.8,282,16,700,SALLING,11/3/2014 16:18
10:51.5,0,17,65,NORREPORT,11/3/2014 16:18
10:51.5,0,18,512,SKOLEBAKKEN,11/3/2014 16:18
10:51.5,1014,19,1240,SCANDCENTER,11/3/2014 16:18
10:51.5,22,20,953,BRUUNS,11/3/2014 16:18
10:51.5,125,21,130,BUSGADEHUSET,11/3/2014 16:18
10:51.5,151,22,400,MAGASIN,11/3/2014 16:18
10:51.5,125,23,210,KALKVAERKSVEJ,11/3/2014 16:18
10:51.5,369,24,700,SALLING,11/3/2014 16:18
40:24.7,22,28,953,BRUUNS,11/3/2014 16:18
40:24.7,0,25,65,NORREPORT,11/3/2014 16:18
40:24.7,0,26,512,SKOLEBAKKEN,11/3/2014 16:18
40:24.7,1045,27,1240,SCANDCENTER,11/3/2014 16:18
40:24.7,144,29,130,BUSGADEHUSET,11/3/2014 16:18
40:24.7,187,30,400,MAGASIN,11/3/2014 16:18
40:24.7,129,31,210,KALKVAERKSVEJ,11/3/2014 16:18
40:24.7,447,32,700,SALLING,11/3/2014 16:18
01:18.0,0,33,65,NORREPORT,11/3/2014 16:18
01:18.0,0,34,512,SKOLEBAKKEN,11/3/2014 16:18
01:18.0,413,35,1240,SCANDCENTER,11/3/2014 16:18
01:18.0,22,36,953,BRUUNS,11/3/2014 16:18
01:18.0,165,37,130,BUSGADEHUSET,11/3/2014 16:18
01:18.0,206,38,400,MAGASIN,11/3/2014 16:18
01:18.0,63,39,210,KALKVAERKSVEJ,11/3/2014 16:18
