updatetime,vehiclecount,totalspaces,garagecode,streamtime
09:04,0,65,1,16:18
09:04,0,512,2,16:18
09:04,869,1240,3,16:18
09:04,22,953,4,16:18
09:04,124,130,5,16:18
09:04,106,400,6,16:18
09:04,115,210,7,16:18
09:04,233,700,8,16:18
39:02,0,65,1,16:18
39:02,0,512,2,16:18
39:02,959,1240,3,16:18
39:02,22,953,4,16:18
39:02,124,130,5,16:18
39:02,119,400,6,16:18
39:02,121,210,7,16:18
39:02,282,700,8,16:18
10:52,0,65,1,16:18
10:52,0,512,2,16:18
10:52,1014,1240,3,16:18
10:52,22,953,4,16:18
10:52,125,130,5,16:18
10:52,151,400,6,16:18
10:52,125,210,7,16:18
10:52,369,700,8,16:18
40:25,22,953,4,16:18
40:25,0,65,1,16:18
40:25,0,512,2,16:18
40:25,1045,1240,3,16:18
40:25,144,130,5,16:18
40:25,187,400,6,16:18
40:25,129,210,7,16:18
40:25,447,700,8,16:18
01:18,0,65,1,16:18
01:18,0,512,2,16:18
01:18,413,1240,3,16:18
01:18,22,953,4,16:18
01:18,165,130,5,16:18
01:18,206,400,6,16:18
01:18,63,210,7,16:18
01:18,252,700,8,16:18
31:22,0,65,1,16:18
31:22,0,512,2,16:18
31:22,360,1240,3,16:18
31:22,22,953,4,16:18
31:22,154,130,5,16:18
31:22,192,400,6,16:18
31:22,62,210,7,16:18
31:22,204,700,8,16:18
19:52,0,65,1,16:18
19:52,0,512,2,16:18
19:52,332,1240,3,16:18
19:52,22,953,4,16:18
19:52,167,130,5,16:18
19:52,162,400,6,16:18
19:52,60,210,7,16:18
19:52,180,700,8,16:18
49:54,0,65,1,16:18
49:54,0,512,2,16:18
49:54,321,1240,3,16:18
49:54,22,953,4,16:18
49:54,166,130,5,16:18
49:54,150,400,6,16:18
49:54,55,210,7,16:18
49:54,161,700,8,16:18
31:46,0,65,1,16:18
31:46,0,512,2,16:18
31:46,269,1240,3,16:18
31:46,22,953,4,16:18
31:46,138,130,5,16:18
31:46,100,400,6,16:18
31:46,38,210,7,16:18
31:46,79,700,8,16:18
01:46,0,65,1,16:18
01:46,0,512,2,16:18
01:46,260,1240,3,16:18
01:46,22,953,4,16:18
01:46,136,130,5,16:18
01:46,91,400,6,16:18
01:46,34,210,7,16:18
01:46,69,700,8,16:18
37:52,0,65,1,16:18
37:52,0,512,2,16:18
37:52,245,1240,3,16:18
37:52,22,953,4,16:18
37:52,136,130,5,16:18
37:52,87,400,6,16:18
37:52,33,210,7,16:18
37:52,66,700,8,16:18
26:29,0,65,1,16:18
26:29,0,512,2,16:18
26:29,588,1240,3,16:18
26:29,22,953,4,16:18
26:29,78,130,5,16:18
26:29,132,400,6,16:18
26:29,74,210,7,16:18
26:29,158,700,8,16:18
57:49,0,65,1,16:18
57:49,0,512,2,16:18
57:49,948,1240,3,16:18
57:49,22,953,4,16:18
57:49,103,130,5,16:18
57:49,225,400,6,16:18
57:49,97,210,7,16:18
57:49,324,700,8,16:18
27:49,0,65,1,16:18
27:49,0,512,2,16:18
27:49,949,1240,3,16:18
27:49,22,953,4,16:18
27:49,105,130,5,16:18
27:49,268,400,6,16:18
27:49,106,210,7,16:18
27:49,394,700,8,16:18
57:49,0,65,1,16:18
57:49,0,512,2,16:18
57:49,969,1240,3,16:18
57:49,22,953,4,16:18
57:49,120,130,5,16:18
57:49,310,400,6,16:18
57:49,110,210,7,16:18
57:49,445,700,8,16:18
27:49,0,65,1,16:18
27:49,0,512,2,16:18
27:49,992,1240,3,16:18
27:49,22,953,4,16:18
27:49,133,130,5,16:18
27:49,338,400,6,16:18
27:49,100,210,7,16:18
27:49,517,700,8,16:18
10:48,0,65,1,16:18
10:48,0,512,2,16:18
10:48,987,1240,3,16:18
10:48,22,953,4,16:18
10:48,146,130,5,16:18
10:48,328,400,6,16:18
10:48,94,210,7,16:18
10:48,529,700,8,16:18
40:48,0,65,1,16:18
40:48,0,512,2,16:18
40:48,983,1240,3,16:18
40:48,22,953,4,16:18
40:48,152,130,5,16:18
40:48,333,400,6,16:18
40:48,90,210,7,16:18
40:48,538,700,8,16:18
50:39,0,65,1,16:18
50:39,0,512,2,16:18
50:39,978,1240,3,16:18
50:39,22,953,4,16:18
50:39,149,130,5,16:18
50:39,359,400,6,16:18
50:39,79,210,7,16:18
50:39,532,700,8,16:18
02:55,0,65,1,16:18
02:55,0,512,2,16:18
02:55,442,1240,3,16:18
02:55,22,953,4,16:18
02:55,164,130,5,16:18
02:55,291,400,6,16:18
02:55,45,210,7,16:18
02:55,362,700,8,16:18
01:59,0,65,1,16:18
01:59,0,512,2,16:18
01:59,312,1240,3,16:18
01:59,22,953,4,16:18
01:59,66,130,5,16:18
01:59,45,400,6,16:18
01:59,31,210,7,16:18
01:59,81,700,8,16:18
33:20,0,65,1,16:18
33:20,0,512,2,16:18
33:20,485,1240,3,16:18
33:20,22,953,4,16:18
33:20,81,130,5,16:18
33:20,35,400,6,16:18
33:20,30,210,7,16:18
33:20,63,700,8,16:18
58:18,0,65,1,16:18
58:18,0,512,2,16:18
58:18,481,1240,3,16:18
58:18,22,953,4,16:18
58:18,85,130,5,16:18
58:18,35,400,6,16:18
58:18,30,210,7,16:18
