updatetime,vehiclecount,totalspaces,garagecode,streamtime
1627,0,65,1,1618
1627,0,512,2,1618
1627,869,1240,3,1618
1627,22,953,4,1618
1627,124,130,5,1618
1627,106,400,6,1618
1627,115,210,7,1618
1627,233,700,8,1618
1657,0,65,1,1618
1657,0,512,2,1618
1657,959,1240,3,1618
1657,22,953,4,1618
1657,124,130,5,1618
1657,119,400,6,1618
1657,121,210,7,1618
1657,282,700,8,1618
1628,0,65,1,1618
1628,0,512,2,1618
1628,1014,1240,3,1618
1628,22,953,4,1618
1628,125,130,5,1618
1628,151,400,6,1618
1628,125,210,7,1618
1628,369,700,8,1618
1658,22,953,4,1618
1658,0,65,1,1618
1658,0,512,2,1618
1658,1045,1240,3,1618
1658,144,130,5,1618
1658,187,400,6,1618
1658,129,210,7,1618
1658,447,700,8,1618
1619,0,65,1,1618
1619,0,512,2,1618
1619,413,1240,3,1618
1619,22,953,4,1618
1619,165,130,5,1618
1619,206,400,6,1618
1619,63,210,7,1618
1619,252,700,8,1618
1649,0,65,1,1618
1649,0,512,2,1618
1649,360,1240,3,1618
1649,22,953,4,1618
1649,154,130,5,1618
1649,192,400,6,1618
1649,62,210,7,1618
1649,204,700,8,1618
1637,0,65,1,1618
1637,0,512,2,1618
1637,332,1240,3,1618
1637,22,953,4,1618
1637,167,130,5,1618
1637,162,400,6,1618
1637,60,210,7,1618
1637,180,700,8,1618
1667,0,65,1,1618
1667,0,512,2,1618
1667,321,1240,3,1618
1667,22,953,4,1618
1667,166,130,5,1618
1667,150,400,6,1618
1667,55,210,7,1618
1667,161,700,8,1618
1649,0,65,1,1618
1649,0,512,2,1618
1649,269,1240,3,1618
1649,22,953,4,1618
1649,138,130,5,1618
1649,100,400,6,1618
1649,38,210,7,1618
1649,79,700,8,1618
1619,0,65,1,1618
1619,0,512,2,1618
1619,260,1240,3,1618
1619,22,953,4,1618
1619,136,130,5,1618
1619,91,400,6,1618
1619,34,210,7,1618
1619,69,700,8,1618
1655,0,65,1,1618
1655,0,512,2,1618
1655,245,1240,3,1618
1655,22,953,4,1618
1655,136,130,5,1618
1655,87,400,6,1618
1655,33,210,7,1618
1655,66,700,8,1618
1644,0,65,1,1618
1644,0,512,2,1618
1644,588,1240,3,1618
1644,22,953,4,1618
1644,78,130,5,1618
1644,132,400,6,1618
1644,74,210,7,1618
1644,158,700,8,1618
1675,0,65,1,1618
1675,0,512,2,1618
1675,948,1240,3,1618
1675,22,953,4,1618
1675,103,130,5,1618
1675,225,400,6,1618
1675,97,210,7,1618
1675,324,700,8,1618
1645,0,65,1,1618
1645,0,512,2,1618
1645,949,1240,3,1618
1645,22,953,4,1618
1645,105,130,5,1618
1645,268,400,6,1618
1645,106,210,7,1618
1645,394,700,8,1618
1675,0,65,1,1618
1675,0,512,2,1618
1675,969,1240,3,1618
1675,22,953,4,1618
1675,120,130,5,1618
1675,310,400,6,1618
1675,110,210,7,1618
1675,445,700,8,1618
1645,0,65,1,1618
1645,0,512,2,1618
1645,992,1240,3,1618
1645,22,953,4,1618
1645,133,130,5,1618
1645,338,400,6,1618
1645,100,210,7,1618
1645,517,700,8,1618
1628,0,65,1,1618
1628,0,512,2,1618
1628,987,1240,3,1618
1628,22,953,4,1618
1628,146,130,5,1618
1628,328,400,6,1618
1628,94,210,7,1618
1628,529,700,8,1618
1658,0,65,1,1618
1658,0,512,2,1618
1658,983,1240,3,1618
1658,22,953,4,1618
1658,152,130,5,1618
1658,333,400,6,1618
1658,90,210,7,1618
1658,538,700,8,1618
1668,0,65,1,1618
1668,0,512,2,1618
1668,978,1240,3,1618
1668,22,953,4,1618
1668,149,130,5,1618
1668,359,400,6,1618
1668,79,210,7,1618
1668,532,700,8,1618
1620,0,65,1,1618
1620,0,512,2,1618
1620,442,1240,3,1618
1620,22,953,4,1618
1620,164,130,5,1618
1620,291,400,6,1618
1620,45,210,7,1618
1620,362,700,8,1618
1619,0,65,1,1618
1619,0,512,2,1618
1619,312,1240,3,1618
1619,22,953,4,1618
1619,66,130,5,1618
1619,45,400,6,1618
1619,31,210,7,1618
1619,81,700,8,1618
1651,0,65,1,1618
1651,0,512,2,1618
1651,485,1240,3,1618
1651,22,953,4,1618
1651,81,130,5,1618
1651,35,400,6,1618
1651,30,210,7,1618
1651,63,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,481,1240,3,1618
1676,22,953,4,1618
1676,85,130,5,1618
1676,35,400,6,1618
1676,30,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,474,1240,3,1618
1646,22,953,4,1618
1646,83,130,5,1618
1646,35,400,6,1618
1646,29,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,235,1240,3,1618
1676,22,953,4,1618
1676,78,130,5,1618
1676,35,400,6,1618
1676,27,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,217,1240,3,1618
1646,22,953,4,1618
1646,76,130,5,1618
1646,33,400,6,1618
1646,27,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,214,1240,3,1618
1676,22,953,4,1618
1676,76,130,5,1618
1676,32,400,6,1618
1676,26,210,7,1618
1676,60,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,212,1240,3,1618
1646,22,953,4,1618
1646,75,130,5,1618
1646,32,400,6,1618
1646,26,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,207,1240,3,1618
1676,22,953,4,1618
1676,73,130,5,1618
1676,31,400,6,1618
1676,26,210,7,1618
1676,60,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,206,1240,3,1618
1646,22,953,4,1618
1646,71,130,5,1618
1646,31,400,6,1618
1646,26,210,7,1618
1646,60,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,204,1240,3,1618
1676,22,953,4,1618
1676,71,130,5,1618
1676,31,400,6,1618
1676,26,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,202,1240,3,1618
1646,22,953,4,1618
1646,71,130,5,1618
1646,31,400,6,1618
1646,26,210,7,1618
1646,61,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,202,1240,3,1618
1676,22,953,4,1618
1676,71,130,5,1618
1676,31,400,6,1618
1676,26,210,7,1618
1676,61,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,202,1240,3,1618
1646,22,953,4,1618
1646,72,130,5,1618
1646,31,400,6,1618
1646,26,210,7,1618
1646,63,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,203,1240,3,1618
1676,22,953,4,1618
1676,72,130,5,1618
1676,31,400,6,1618
1676,26,210,7,1618
1676,63,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,203,1240,3,1618
1646,22,953,4,1618
1646,72,130,5,1618
1646,31,400,6,1618
1646,26,210,7,1618
1646,63,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,204,1240,3,1618
1676,22,953,4,1618
1676,73,130,5,1618
1676,31,400,6,1618
1676,26,210,7,1618
1676,65,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,204,1240,3,1618
1646,22,953,4,1618
1646,71,130,5,1618
1646,31,400,6,1618
1646,26,210,7,1618
1646,66,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,207,1240,3,1618
1676,22,953,4,1618
1676,70,130,5,1618
1676,32,400,6,1618
1676,26,210,7,1618
1676,65,700,8,1618
1646,0,65,1,1618
1646,0,512,2,1618
1646,220,1240,3,1618
1646,22,953,4,1618
1646,69,130,5,1618
1646,34,400,6,1618
1646,29,210,7,1618
1646,67,700,8,1618
1676,0,65,1,1618
1676,0,512,2,1618
1676,255,1240,3,1618
1676,22,953,4,1618
1676,65,130,5,1618
1676,35,400,6,1618
1676,35,210,7,1618
1676,68,700,8,1618
1646,0,65,1,1618
